Country,Population,Area,Add Date
Madagascar,18595469,587040,2020-05-02 00:00:00
Malawi,13013926,118480,2020-05-02 00:00:00
Malaysia,24385858,329750,2020-05-02 00:00:00
Maldives,359008,300,2020-05-02 00:00:00
Mali,11716829,1240000,2020-05-02 00:00:00
Malta,400214,316,2020-05-02 00:00:00
Marshall Islands,60422,11854,2020-05-02 00:00:00
Martinique,436131,1100,2020-05-02 00:00:00
Mauritania,3177388,1030700,2020-05-02 00:00:00
Mauritius,1240827,2040,2020-05-02 00:00:00
Mayotte,201234,374,2020-05-02 00:00:00
Mexico,107449525,1972550,2020-05-02 00:00:00
"Micronesia, Fed. St.",108004,702,2020-05-02 00:00:00
Moldova,4466706,33843,2020-05-02 00:00:00
Monaco,32543,2,2020-05-02 00:00:00
Mongolia,2832224,1564116,2020-05-02 00:00:00
Montserrat,9439,102,2020-05-02 00:00:00
Morocco,33241259,446550,2020-05-02 00:00:00
Mozambique,19686505,801590,2020-05-02 00:00:00
Namibia,2044147,825418,2020-05-02 00:00:00
Nauru,13287,21,2020-05-02 00:00:00
Nepal,28287147,147181,2020-05-02 00:00:00
Netherlands,16491461,41526,2020-05-02 00:00:00
Netherlands Antilles,221736,960,2020-05-02 00:00:00
New Caledonia,219246,19060,2020-05-02 00:00:00
New Zealand,4076140,268680,2020-05-02 00:00:00
Nicaragua,5570129,129494,2020-05-02 00:00:00
Niger,12525094,1267000,2020-05-02 00:00:00
Nigeria,131859731,923768,2020-05-02 00:00:00
N. Mariana Islands,82459,477,2020-05-02 00:00:00
Norway,4610820,323802,2020-05-02 00:00:00
Oman,3102229,212460,2020-05-02 00:00:00
Pakistan,165803560,803940,2020-05-02 00:00:00
Palau,20579,458,2020-05-02 00:00:00
Panama,3191319,78200,2020-05-02 00:00:00
Papua New Guinea,5670544,462840,2020-05-02 00:00:00
Paraguay,6506464,406750,2020-05-02 00:00:00
Peru,28302603,1285220,2020-05-02 00:00:00
Philippines,89468677,300000,2020-05-02 00:00:00
Poland,38536869,312685,2020-05-02 00:00:00
Portugal,10605870,92391,2020-05-02 00:00:00
Puerto Rico,3927188,13790,2020-05-02 00:00:00
Qatar,885359,11437,2020-05-02 00:00:00
Reunion,787584,2517,2020-05-02 00:00:00
Romania,22303552,237500,2020-05-02 00:00:00
Russia,142893540,17075200,2020-05-02 00:00:00
Rwanda,8648248,26338,2020-05-02 00:00:00
Saint Helena,7502,413,2020-05-02 00:00:00
Saint Kitts and Nevis,39129,261,2020-05-02 00:00:00
Saint Lucia,168458,616,2020-05-02 00:00:00
St Pierre and Miquelon,7026,242,2020-05-02 00:00:00
Saint Vincent and the Grenadines,117848,389,2020-05-02 00:00:00
Samoa,176908,2944,2020-05-02 00:00:00
San Marino,29251,61,2020-05-02 00:00:00
Sao Tome and Principe,193413,1001,2020-05-02 00:00:00
Saudi Arabia,27019731,1960582,2020-05-02 00:00:00
Senegal,11987121,196190,2020-05-02 00:00:00
Serbia,9396411,88361,2020-05-02 00:00:00
Seychelles,81541,455,2020-05-02 00:00:00
Sierra Leone,6005250,71740,2020-05-02 00:00:00
Singapore,4492150,693,2020-05-02 00:00:00
Slovakia,5439448,48845,2020-05-02 00:00:00
Slovenia,2010347,20273,2020-05-02 00:00:00
Solomon Islands,552438,28450,2020-05-02 00:00:00
Somalia,8863338,637657,2020-05-02 00:00:00
South Africa,44187637,1219912,2020-05-02 00:00:00
Spain,40397842,504782,2020-05-02 00:00:00
Sri Lanka,20222240,65610,2020-05-02 00:00:00
Sudan,41236378,2505810,2020-05-02 00:00:00
Suriname,439117,163270,2020-05-02 00:00:00
Swaziland,1136334,17363,2020-05-02 00:00:00
Sweden,9016596,449964,2020-05-02 00:00:00
Switzerland,7523934,41290,2020-05-02 00:00:00
Syria,18881361,185180,2020-05-02 00:00:00
Taiwan,23036087,35980,2020-05-02 00:00:00
Tajikistan,7320815,143100,2020-05-02 00:00:00
Tanzania,37445392,945087,2020-05-02 00:00:00
Thailand,64631595,514000,2020-05-02 00:00:00
Togo,5548702,56785,2020-05-02 00:00:00
Tonga,114689,748,2020-05-02 00:00:00
Trinidad and Tobago,1065842,5128,2020-05-02 00:00:00
Tunisia,10175014,163610,2020-05-02 00:00:00
Turkey,70413958,780580,2020-05-02 00:00:00
Turkmenistan,5042920,488100,2020-05-02 00:00:00
Turks and Caicos Is,21152,430,2020-05-02 00:00:00
Tuvalu,11810,26,2020-05-02 00:00:00
Uganda,28195754,236040,2020-05-02 00:00:00
Ukraine,46710816,603700,2020-05-02 00:00:00
United Arab Emirates,2602713,82880,2020-05-02 00:00:00
United Kingdom,60609153,244820,2020-05-02 00:00:00
United States,298444215,9631420,2020-05-02 00:00:00
Uruguay,3431932,176220,2020-05-02 00:00:00
Uzbekistan,27307134,447400,2020-05-02 00:00:00
Vanuatu,208869,12200,2020-05-02 00:00:00
Venezuela,25730435,912050,2020-05-02 00:00:00
Vietnam,84402966,329560,2020-05-02 00:00:00
Virgin Islands,108605,1910,2020-05-02 00:00:00
Wallis and Futuna,16025,274,2020-05-02 00:00:00
West Bank,2460492,5860,2020-05-02 00:00:00
Western Sahara,273008,266000,2020-05-02 00:00:00
Yemen,21456188,527970,2020-05-02 00:00:00
Zambia,11502010,752614,2020-05-02 00:00:00
Zimbabwe,12236805,390580,2020-05-02 00:00:00
